variant_id,card,variant,price,stock,image
47890716885227,Mirror Force (LCKC-EN053)  Ultra Rare,Near Mint - 1st Edition,11999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161979.jpg?v=1772691699
47890716852459,Mikazukinoyaiba (LCKC-EN098)  Ultra Rare,Near Mint - 1st Edition,2499.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162024.jpg?v=1772691693
47890716819691,Mausoleum of White (LCKC-EN036)  Ultra Rare,Near Mint - 1st Edition,9999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161962.jpg?v=1772691687
47890716786923,Master with Eyes of Blue (LCKC-EN014)  Ultra Rare,Near Mint - 1st Edition,2999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161940.jpg?v=1772691682
47890716754155,Majesty with Eyes of Blue (LCKC-EN031)  Secret Rare,Near Mint - 1st Edition,3999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161957.jpg?v=1772691676
47890716721387,Maiden with Eyes of Blue (LCKC-EN012)  Secret Rare,Near Mint - 1st Edition,2499.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161938.jpg?v=1772691669
47890716688619,Lullaby of Obedience (LCKC-EN042)  Secret Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161968.jpg?v=1772691663
47890716655851,Loop of Destruction  (LCKC-EN110)  Secret Rare,Near Mint - Unlimited,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162036.jpg?v=1772691658
47890716623083,La Jinn the Mystical Genie of the Lamp (LCKC-EN002)  Ultra Rare,Near Mint - Unlimited,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161928.jpg?v=1772691652
47890716590315,Kaibaman (LCKC-EN009)  Ultra Rare,Near Mint - Unlimited,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161935.jpg?v=1772691647
47890716557547,Just Desserts (LCKC-EN105)  Ultra Rare,Near Mint - Unlimited,6999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162031.jpg?v=1772691640
47890716524779,Judge Man (LCKC-EN004)  Ultra Rare,Near Mint - Unlimited,2999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161930.jpg?v=1772691634
47890716492011,Interdimensional Matter Transporter (LCKC-EN052)  Secret Rare,Near Mint - Unlimited,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161978.jpg?v=1772691628
